year,road,seasonalimpact,demand,wttons,labour,toll,distance,fuelcost,miscellaneous,tariff
2014,sh,no,less,5.06,307,760,343,6765,4738,5805
2014,nh,no,less,19,1330,11600,1726,33453,10275,23205
2014,nh,no,less,10,700,240,195,3821,5850,6790
2014,nh,,high,9.8,882,1175,571,10888,7005,9062
2014,nh,,high,10.6,954,2990,744,14008,7185,11129
2014,nh,,high,20,1800,3030,688,12916,9300,14130
2014,nh,,high,11,990,1150,460,8738,7275,9415
2014,,,high,7,630,650,175,3927,6375,7655
2014,,,high,12,1080,3400,586,10928,7500,11980
2014,,,high,9.6,864,0,126,2402,6960,7824
2014,,,,8.8,792,260,158,3011,6780,7832
2014,,,,4,360,0,83,1578,5700,6060
2014,,,,10,800,500,136,2595,6450,7750
2014,,,normal,14.96,1197,2680,365,6942,7566,11443
2014,,,normal,16.2,1296,3100,375,7048,7845,12241
2014,,,normal,12,960,2340,542.3,10276,7500,10800
2014,,,normal,6.6,528,475,136,2591,5685,6688
2014,,yes,,7.8,624,450,106,2010,5955,7029
2014,,yes,,8.8,704,0,90,1704,6180,6884
2014,,yes,,6.4,512,0,118.4,2260,5640,6152
2014,,yes,,13.4,938,1290,401,7624,6615,8843
2014,,yes,,14.2,994,1250,631,12033,6795,9039
2014,,yes,,15,1050,3020,803,15154,6975,11045
2014,,yes,,11,770,0,93,1771,6075,6845
2014,,yes,,7.8,546,1560,275,5212,5355,7461
2014,,,high,10.6,954,4600,761,14773,7185,12739
2014,,,high,14,1260,1005,357,6963,7950,10215
2014,,,high,10.2,918,1720,859,16854,7095,9733
2014,,,high,6,540,540,136,2782,6150,7230
2014,,no,,9.4,846,1295,213,4180,6915,9056
2014,,no,,8.4,672,4000,648,12725,6090,10762
2014,,no,,5.2,416,680,207,4077,5370,6466
2014,,,normal,10,800,1381,395,7672,6450,8631
2014,,,normal,17.8,1424,4000,577,11291,8205,13629
2014,,,less,9.4,658,395,156,3078,5715,6768
2014,,,less,6.6,462,0,48,957,5085,5547
2014,nh,,,10.2,714,760,343,6765,5895,7369
2014,nh,,,11.8,826,1258,604,11929,6255,8339
2015,nh,yes,high,20,2200,9760,1354,26856,13800,25760
2015,nh,yes,high,15,1650,3120,777,15414,9350,14120
2015,nh,yes,high,14,1540,3325,584,11479,9100,13965
2015,nh,yes,high,12,1320,3120,777,15414,8600,13040
2015,nh,yes,high,10,1100,840,342,6876,8100,10040
2015,nh,yes,high,13,1430,1507,659,13238,8850,11787
2015,nh,yes,high,11,1210,1360,374,7479,8350,10920
2015,nh,yes,high,12,1320,1360,374,7479,8600,11280
2015,nh,yes,high,10.8,1188,2603,389,7801,8300,12091
2015,nh,yes,high,9.8,1078,1197,171,3434,8050,10325
2015,nh,yes,high,11,1210,1360,374,7479,8350,10920
2015,sh,yes,high,6,660,0,77,1546,7100,7760
2015,sh,yes,high,5,550,0,93,1866,6850,7400
2015,sh,yes,high,6,660,0,92,1846,7100,7760
2015,sh,yes,high,4,440,0,79,1592,6600,7040
2015,nh,yes,normal,10,900,1360,301,6002,7500,9760
2015,nh,yes,normal,11.2,1008,1895,375,7541,7800,10703
2015,nh,yes,normal,18,1620,3095,729,14492,9500,14215
2015,nh,yes,normal,13.6,1224,3120,747,14778,8400,12744
2015,sh,yes,normal,9.8,882,0,77,1546,7450,8332
2015,nh,yes,normal,12,1080,2160,558,11094,8000,11240
2015,nh,yes,normal,10.8,1188,2603,389,7801,8300,12091
2015,nh,yes,normal,8.8,792,1740,274,5455,7200,9732
2015,nh,yes,normal,10.4,936,900,269,5336,7600,9436
2015,sh,yes,normal,6,540,0,77,1546,6500,7040
2015,sh,yes,normal,5,450,0,93,1866,6250,6700
2015,sh,yes,low,6,510,0,92,1846,5500,6010
2015,sh,yes,low,4,340,0,79,1592,5000,5340
2015,nh,yes,low,10,850,1360,301,6002,6500,8710
2015,nh,yes,low,11.2,952,1895,375,7541,6800,9647
2015,nh,yes,low,18,1530,3095,729,14492,8500,13125
2015,nh,no,high,14,1540,2695,502,10083,9100,13335
2015,nh,no,high,12,1320,4085,828,16616,8600,14005
2015,nh,no,high,12.4,1364,8420,1277,26649,11900,21684
2015,nh,no,high,10,1100,8400,1277,26616,8100,17600
2015,nh,no,high,13.4,1139,6095,1296,26719,12150,19384
2015,nh,no,normal,8.8,968,5355,767,15676,6200,12523
2015,nh,no,normal,9.8,1078,5355,767,15676,8050,14483
2015,nh,no,normal,10,1100,5355,767,15676,8100,14555
2015,nh,no,low,14,1190,2695,502,10083,7500,11385
2015,nh,no,low,12,1020,4085,828,16616,7000,12105
2015,nh,no,low,12.4,1054,8420,1277,26649,9700,19174
2015,yes,high,6,660,0,77,1546,7100,,77
2015,,yes,high,5,550,0,93,1866,6850,7400
2015,sh,yes,,6,660,0,92,1846,7100,7760
2015,sh,yes,,4,440,0,79,1592,6600,7040
2015,,yes,normal,10,900,1360,,6002,7500,9760
2015,,yes,normal,11.2,1008,1895,,7541,7800,10703
2015,nh,yes,,18,1620,3095,,14492,9500,14215
2015,nh,yes,,13.6,1224,3120,,14778,8400,12744
